round,table_usage,runtime_ms
0,1.19,16.90
0,2.38,5.50
0,3.58,5.61
0,4.77,5.57
0,5.96,5.35
0,7.15,5.31
0,8.34,5.32
0,9.54,5.47
0,10.73,5.30
0,11.92,5.56
0,13.11,5.62
0,14.31,5.39
0,15.50,5.52
0,16.69,5.50
0,17.88,5.55
0,19.07,5.57
0,20.27,9.60
0,21.46,5.74
0,22.65,5.55
0,23.84,5.87
0,25.03,5.65
0,26.23,5.75
0,27.42,5.84
0,28.61,5.92
0,29.80,5.86
0,30.99,5.93
0,32.19,5.88
0,33.38,6.19
0,34.57,5.98
0,35.76,6.18
0,36.95,6.16
0,38.15,6.32
0,39.34,6.40
0,40.53,6.42
0,41.72,6.44
0,42.92,6.63
0,44.11,6.60
0,45.30,6.93
0,46.49,7.19
0,47.68,7.50
0,48.88,7.50
0,50.07,7.61
0,51.26,7.70
0,52.45,8.04
0,53.64,9.66
0,54.84,9.01
0,56.03,9.21
0,57.22,9.88
0,58.41,11.15
0,59.60,10.44
0,60.80,11.22
0,61.99,11.15
0,63.18,11.64
0,64.37,18.67
0,65.57,13.36
0,66.76,12.88
0,67.95,13.50
0,69.14,12.87
0,70.33,13.45
0,71.53,14.12
0,72.72,15.13
0,73.91,14.71
0,75.10,15.27
0,76.29,15.81
0,77.49,16.38
0,78.68,16.17
0,79.87,16.58
0,81.06,17.35
0,82.25,16.84
0,83.45,17.66
0,84.64,19.11
0,85.83,19.42
0,87.02,20.52
0,88.21,21.45
0,89.41,22.67
0,90.60,23.47
0,91.79,25.86
0,92.98,29.14
0,94.18,32.80
0,95.37,37.77
1,1.19,16.92
1,2.38,5.68
1,3.58,5.72
1,4.77,5.24
1,5.96,5.60
1,7.15,5.31
1,8.34,5.60
1,9.54,5.46
1,10.73,5.46
1,11.92,5.43
1,13.11,5.74
1,14.31,5.74
1,15.50,5.70
1,16.69,5.54
1,17.88,5.62
1,19.07,5.92
1,20.27,5.63
1,21.46,5.64
1,22.65,5.80
1,23.84,5.82
1,25.03,5.91
1,26.23,10.98
1,27.42,6.10
1,28.61,5.85
1,29.80,5.89
1,30.99,5.93
1,32.19,5.94
1,33.38,6.15
1,34.57,6.25
1,35.76,6.18
1,36.95,6.26
1,38.15,6.31
1,39.34,6.49
1,40.53,6.54
1,41.72,6.58
1,42.92,6.69
1,44.11,6.78
1,45.30,7.14
1,46.49,7.30
1,47.68,7.82
1,48.88,8.22
1,50.07,14.79
1,51.26,11.91
1,52.45,9.64
1,53.64,17.46
1,54.84,9.94
1,56.03,11.46
1,57.22,10.30
1,58.41,11.12
1,59.60,11.03
1,60.80,11.18
1,61.99,13.04
1,63.18,12.09
1,64.37,12.85
1,65.57,14.32
1,66.76,13.19
1,67.95,13.18
1,69.14,13.07
1,70.33,15.61
1,71.53,14.28
1,72.72,14.98
1,73.91,14.68
1,75.10,15.27
1,76.29,26.10
1,77.49,21.34
1,78.68,21.40
1,79.87,21.98
1,81.06,25.16
1,82.25,23.24
1,83.45,20.45
1,84.64,20.94
1,85.83,20.84
1,87.02,23.84
1,88.21,23.54
1,89.41,24.06
1,90.60,26.86
1,91.79,27.92
1,92.98,31.28
1,94.18,34.71
1,95.37,46.33
2,1.19,12.85
2,2.38,5.39
2,3.58,5.35
2,4.77,5.63
2,5.96,5.49
2,7.15,5.41
2,8.34,5.59
2,9.54,5.48
2,10.73,5.52
2,11.92,5.37
2,13.11,5.43
2,14.31,5.73
2,15.50,5.69
2,16.69,5.91
2,17.88,5.67
2,19.07,5.75
2,20.27,8.67
2,21.46,5.64
2,22.65,5.93
2,23.84,5.73
2,25.03,5.85
2,26.23,5.98
2,27.42,5.88
2,28.61,6.25
2,29.80,6.20
2,30.99,6.21
2,32.19,6.32
2,33.38,6.31
2,34.57,6.55
2,35.76,6.48
2,36.95,6.51
2,38.15,6.74
2,39.34,6.74
2,40.53,6.81
2,41.72,7.12
2,42.92,7.11
2,44.11,7.27
2,45.30,7.31
2,46.49,12.54
2,47.68,7.97
2,48.88,8.13
2,50.07,8.17
2,51.26,8.94
2,52.45,8.75
2,53.64,10.47
2,54.84,17.89
2,56.03,10.18
2,57.22,11.04
2,58.41,10.42
2,59.60,11.12
2,60.80,11.46
2,61.99,13.02
2,63.18,12.48
2,64.37,12.04
2,65.57,12.74
2,66.76,17.98
2,67.95,14.52
2,69.14,14.86
2,70.33,14.91
2,71.53,14.46
2,72.72,15.15
2,73.91,14.69
2,75.10,25.72
2,76.29,16.76
2,77.49,16.03
2,78.68,16.72
2,79.87,16.86
2,81.06,24.95
2,82.25,21.65
2,83.45,19.94
2,84.64,20.38
2,85.83,20.99
2,87.02,22.20
2,88.21,23.42
2,89.41,24.65
2,90.60,26.13
2,91.79,29.27
2,92.98,35.69
2,94.18,36.67
2,95.37,40.92
3,1.19,19.72
3,2.38,5.40
3,3.58,5.51
3,4.77,5.47
3,5.96,5.60
3,7.15,5.46
3,8.34,5.46
3,9.54,11.80
3,10.73,5.85
3,11.92,5.57
3,13.11,6.26
3,14.31,5.98
3,15.50,5.70
3,16.69,5.73
3,17.88,5.87
3,19.07,5.86
3,20.27,5.80
3,21.46,12.09
3,22.65,5.88
3,23.84,5.86
3,25.03,5.91
3,26.23,6.11
3,27.42,6.20
3,28.61,6.10
3,29.80,6.07
3,30.99,6.11
3,32.19,6.26
3,33.38,6.30
3,34.57,6.61
3,35.76,6.45
3,36.95,6.65
3,38.15,6.56
3,39.34,12.38
3,40.53,8.04
3,41.72,7.14
3,42.92,7.23
3,44.11,7.18
3,45.30,7.17
3,46.49,7.29
3,47.68,7.74
3,48.88,7.90
3,50.07,8.23
3,51.26,10.62
3,52.45,8.74
3,53.64,8.85
3,54.84,9.54
3,56.03,11.77
3,57.22,10.65
3,58.41,10.65
3,59.60,12.29
3,60.80,11.62
3,61.99,11.69
3,63.18,11.91
3,64.37,12.47
3,65.57,12.45
3,66.76,13.05
3,67.95,17.62
3,69.14,14.06
3,70.33,15.14
3,71.53,14.76
3,72.72,21.94
3,73.91,16.24
3,75.10,16.19
3,76.29,16.83
3,77.49,17.12
3,78.68,17.67
3,79.87,19.40
3,81.06,28.11
3,82.25,20.19
3,83.45,21.70
3,84.64,25.17
3,85.83,22.10
3,87.02,30.34
3,88.21,33.62
3,89.41,34.19
3,90.60,29.93
3,91.79,39.57
3,92.98,34.02
3,94.18,37.41
3,95.37,40.93
4,1.19,22.13
4,2.38,5.94
4,3.58,5.90
4,4.77,14.19
4,5.96,7.30
4,7.15,7.68
4,8.34,6.18
4,9.54,6.37
4,10.73,6.83
4,11.92,5.66
4,13.11,6.17
4,14.31,8.59
4,15.50,10.59
4,16.69,6.40
4,17.88,6.04
4,19.07,6.03
4,20.27,6.06
4,21.46,6.03
4,22.65,6.07
4,23.84,6.09
4,25.03,10.73
4,26.23,6.58
4,27.42,6.57
4,28.61,8.93
4,29.80,6.83
4,30.99,7.99
4,32.19,6.65
4,33.38,6.66
4,34.57,6.71
4,35.76,15.05
4,36.95,7.32
4,38.15,7.17
4,39.34,7.07
4,40.53,6.91
4,41.72,7.31
4,42.92,7.39
4,44.11,7.21
4,45.30,7.53
4,46.49,7.75
4,47.68,9.21
4,48.88,13.76
4,50.07,8.47
4,51.26,8.69
4,52.45,8.64
4,53.64,8.99
4,54.84,9.44
4,56.03,11.12
4,57.22,10.57
4,58.41,10.76
4,59.60,11.22
4,60.80,11.69
4,61.99,12.02
4,63.18,14.97
4,64.37,12.32
4,65.57,16.41
4,66.76,21.81
4,67.95,30.17
4,69.14,30.63
4,70.33,18.22
4,71.53,18.53
4,72.72,16.12
4,73.91,16.04
4,75.10,17.00
4,76.29,16.32
4,77.49,20.61
4,78.68,16.74
4,79.87,18.29
4,81.06,25.89
4,82.25,25.20
4,83.45,19.87
4,84.64,21.19
4,85.83,25.55
4,87.02,31.81
4,88.21,24.23
4,89.41,23.91
4,90.60,27.66
4,91.79,34.66
4,92.98,34.21
4,94.18,57.08
4,95.37,52.34
5,1.19,39.90
5,2.38,5.86
5,3.58,5.82
5,4.77,5.92
5,5.96,5.67
5,7.15,5.76
5,8.34,11.17
5,9.54,6.14
5,10.73,5.82
5,11.92,5.88
5,13.11,5.92
5,14.31,6.11
5,15.50,6.02
5,16.69,6.21
5,17.88,6.44
5,19.07,6.33
5,20.27,6.17
5,21.46,6.15
5,22.65,6.13
5,23.84,17.01
5,25.03,6.23
5,26.23,6.31
5,27.42,6.28
5,28.61,6.29
5,29.80,6.31
5,30.99,6.42
5,32.19,6.51
5,33.38,6.56
5,34.57,6.68
5,35.76,6.47
5,36.95,6.89
5,38.15,14.73
5,39.34,6.85
5,40.53,6.96
5,41.72,7.23
5,42.92,7.71
5,44.11,14.79
5,45.30,4.08
5,46.49,9.74
5,47.68,9.60
5,48.88,8.90
5,50.07,25.57
5,51.26,11.77
5,52.45,12.76
5,53.64,39.52
5,54.84,12.13
5,56.03,11.97
5,57.22,16.15
5,58.41,10.80
5,59.60,7.82
5,60.80,11.64
5,61.99,21.93
5,63.18,18.40
5,64.37,17.84
5,65.57,18.38
5,66.76,22.10
5,67.95,20.01
5,69.14,18.61
5,70.33,21.14
5,71.53,26.36
5,72.72,32.97
5,73.91,21.51
5,75.10,16.46
5,76.29,16.75
5,77.49,20.61
5,78.68,21.14
5,79.87,30.52
5,81.06,22.14
5,82.25,18.48
5,83.45,31.92
5,84.64,25.87
5,85.83,22.34
5,87.02,24.41
5,88.21,27.22
5,89.41,26.63
5,90.60,46.98
5,91.79,28.31
5,92.98,34.49
5,94.18,38.01
5,95.37,48.94
6,1.19,49.46
6,2.38,5.54
6,3.58,5.47
6,4.77,5.83
6,5.96,5.61
6,7.15,5.86
6,8.34,5.72
6,9.54,5.66
6,10.73,5.55
6,11.92,5.66
6,13.11,5.83
6,14.31,5.98
6,15.50,8.33
6,16.69,8.38
6,17.88,8.70
6,19.07,5.84
6,20.27,5.90
6,21.46,6.00
6,22.65,5.93
6,23.84,6.18
6,25.03,6.05
6,26.23,6.09
6,27.42,16.44
6,28.61,6.28
6,29.80,6.22
6,30.99,6.24
6,32.19,6.41
6,33.38,6.44
6,34.57,6.33
6,35.76,6.39
6,36.95,6.65
6,38.15,14.14
6,39.34,6.80
6,40.53,7.01
6,41.72,6.97
6,42.92,8.90
6,44.11,7.18
6,45.30,7.27
6,46.49,7.60
6,47.68,7.62
6,48.88,7.76
6,50.07,8.22
6,51.26,11.23
6,52.45,9.57
6,53.64,17.61
6,54.84,9.52
6,56.03,11.12
6,57.22,10.74
6,58.41,10.21
6,59.60,11.81
6,60.80,13.48
6,61.99,14.34
6,63.18,13.73
6,64.37,12.72
6,65.57,14.31
6,66.76,14.40
6,67.95,21.22
6,69.14,14.46
6,70.33,14.85
6,71.53,14.80
6,72.72,15.71
6,73.91,19.43
6,75.10,16.21
6,76.29,16.68
6,77.49,16.57
6,78.68,16.54
6,79.87,19.52
6,81.06,17.24
6,82.25,18.42
6,83.45,18.99
6,84.64,20.55
6,85.83,23.27
6,87.02,22.07
6,88.21,26.92
6,89.41,27.24
6,90.60,56.03
6,91.79,43.76
6,92.98,35.67
6,94.18,38.36
6,95.37,44.33
7,1.19,12.56
7,2.38,5.79
7,3.58,5.49
7,4.77,5.72
7,5.96,5.80
7,7.15,6.11
7,8.34,5.91
7,9.54,6.04
7,10.73,5.81
7,11.92,5.69
7,13.11,5.82
7,14.31,6.09
7,15.50,13.53
7,16.69,5.81
7,17.88,5.81
7,19.07,5.86
7,20.27,6.04
7,21.46,5.99
7,22.65,5.95
7,23.84,5.97
7,25.03,5.96
7,26.23,6.14
7,27.42,6.77
7,28.61,6.29
7,29.80,12.83
7,30.99,6.50
7,32.19,6.47
7,33.38,6.49
7,34.57,6.56
7,35.76,6.58
7,36.95,6.71
7,38.15,6.96
7,39.34,7.05
7,40.53,7.11
7,41.72,7.23
7,42.92,7.05
7,44.11,7.40
7,45.30,7.52
7,46.49,7.53
7,47.68,7.68
7,48.88,13.43
7,50.07,8.56
7,51.26,10.56
7,52.45,9.29
7,53.64,9.57
7,54.84,10.26
7,56.03,18.93
7,57.22,10.09
7,58.41,10.79
7,59.60,10.80
7,60.80,11.18
7,61.99,12.65
7,63.18,11.61
7,64.37,12.03
7,65.57,16.59
7,66.76,14.11
7,67.95,14.03
7,69.14,14.73
7,70.33,14.86
7,71.53,13.96
7,72.72,15.05
7,73.91,14.90
7,75.10,22.82
7,76.29,15.42
7,77.49,16.56
7,78.68,16.80
7,79.87,16.09
7,81.06,16.99
7,82.25,17.98
7,83.45,18.14
7,84.64,18.98
7,85.83,19.55
7,87.02,26.31
7,88.21,22.81
7,89.41,24.67
7,90.60,24.95
7,91.79,26.76
7,92.98,35.29
7,94.18,35.10
7,95.37,38.89
8,1.19,5.37
8,2.38,5.34
8,3.58,5.14
8,4.77,5.48
8,5.96,5.39
8,7.15,5.73
8,8.34,6.01
8,9.54,9.84
8,10.73,5.75
8,11.92,6.04
8,13.11,7.28
8,14.31,8.62
8,15.50,6.10
8,16.69,5.82
8,17.88,5.87
8,19.07,5.98
8,20.27,5.79
8,21.46,5.79
8,22.65,6.03
8,23.84,5.92
8,25.03,6.02
8,26.23,5.76
8,27.42,6.07
8,28.61,6.06
8,29.80,6.05
8,30.99,6.09
8,32.19,6.30
8,33.38,6.29
8,34.57,6.29
8,35.76,6.36
8,36.95,6.48
8,38.15,6.65
8,39.34,6.54
8,40.53,6.70
8,41.72,6.82
8,42.92,6.88
8,44.11,7.12
8,45.30,7.39
8,46.49,10.71
8,47.68,7.77
8,48.88,8.01
8,50.07,8.68
8,51.26,8.40
8,52.45,9.49
8,53.64,8.79
8,54.84,10.07
8,56.03,8.99
8,57.22,9.72
8,58.41,11.55
8,59.60,12.26
8,60.80,10.96
8,61.99,11.22
8,63.18,14.23
8,64.37,12.44
8,65.57,12.21
8,66.76,12.59
8,67.95,13.35
8,69.14,13.39
8,70.33,13.22
8,71.53,14.28
8,72.72,13.99
8,73.91,15.24
8,75.10,15.26
8,76.29,15.44
8,77.49,21.81
8,78.68,16.43
8,79.87,17.96
8,81.06,17.41
8,82.25,18.25
8,83.45,18.19
8,84.64,18.42
8,85.83,20.49
8,87.02,20.94
8,88.21,21.57
8,89.41,22.92
8,90.60,24.42
8,91.79,26.29
8,92.98,29.30
8,94.18,33.14
8,95.37,38.28
